,Value,Type,Class,Description
599,Paris,Location,Personal details,place
600,U.N.,Organization,Political Secret,organizations such as private company and goverment.
601,Cyprien,Person,Personal details,name of person
602,StGallen,Organization,Political Secret,organizations such as private company and goverment.
603,ClaudioMoura,Person,Personal details,name of person
604,Gazprom,Organization,Political Secret,organizations such as private company and goverment.
605,TEXAS,Organization,Political Secret,organizations such as private company and goverment.
606,KANSASCITY,Location,Personal details,place
607,S.Africa,Location,Personal details,place
608,Juventude,Organization,Political Secret,organizations such as private company and goverment.
609,Internacional,Organization,Political Secret,organizations such as private company and goverment.
610,MarkCairns,Person,Personal details,name of person
611,England,Location,Personal details,place
612,DelHarris,Person,Personal details,name of person
613,England,Location,Personal details,place
614,Adelaide,Organization,Political Secret,organizations such as private company and goverment.
615,NEWYORK,Location,Personal details,place
616,NorthSydney,Organization,Political Secret,organizations such as private company and goverment.
617,SouthSydney,Organization,Political Secret,organizations such as private company and goverment.
618,Shanghai,Location,Personal details,place
619,ChinaNationalNonferrousMetalsImportandExportCorp,Organization,Political Secret,organizations such as private company and goverment.
620,CNIEC,Organization,Political Secret,organizations such as private company and goverment.
621,Irani,Person,Personal details,name of person
622,Croft,Person,Personal details,name of person
623,INDIA,Location,Personal details,place
624,SRILANKA,Location,Personal details,place
625,JeffWilson,Person,Personal details,name of person
626,NewZealand,Location,Personal details,place
627,RubenKruger,Person,Personal details,name of person
628,JoostvanderWesthuizen,Person,Personal details,name of person
629,PAKISTAN,Location,Personal details,place
630,ENGLAND,Location,Personal details,place
631,Benetton,Organization,Political Secret,organizations such as private company and goverment.
632,Colorado,Location,Personal details,place
633,GaleNorton,Person,Personal details,name of person
634,Texas,Organization,Political Secret,organizations such as private company and goverment.
635,MINNESOTA,Organization,Political Secret,organizations such as private company and goverment.
636,RAFRiga,Organization,Political Secret,organizations such as private company and goverment.
637,AgrinsZarins,Person,Personal details,name of person
638,PHILADELPHIA,Organization,Political Secret,organizations such as private company and goverment.
639,SANDIEGO,Location,Personal details,place
640,BOSTON,Organization,Political Secret,organizations such as private company and goverment.
641,Oakland,Organization,Political Secret,organizations such as private company and goverment.
642,EastStirling,Organization,Political Secret,organizations such as private company and goverment.
643,Albion,Organization,Political Secret,organizations such as private company and goverment.
644,RogerBlack,Person,Personal details,name of person
645,Britain,Location,Personal details,place
646,Hereford,Organization,Political Secret,organizations such as private company and goverment.
647,J.Srinath,Person,Personal details,name of person
648,SANFRANCISCO,Organization,Political Secret,organizations such as private company and goverment.
649,Philadelphia,Organization,Political Secret,organizations such as private company and goverment.
650,HONGKONG,Location,Personal details,place
651,SOSA,Person,Personal details,name of person
652,LTTE,Organization,Political Secret,organizations such as private company and goverment.
653,LiberationTigersofTamilEelam,Organization,Political Secret,organizations such as private company and goverment.
654,P.Arulanandam,Person,Personal details,name of person
655,Amsterdam,Location,Personal details,place
656,Bradford,Organization,Political Secret,organizations such as private company and goverment.
657,France,Location,Personal details,place
658,LeMonde,Organization,Political Secret,organizations such as private company and goverment.
659,Nepal,Location,Personal details,place
660,WesBancoBank,Organization,Political Secret,organizations such as private company and goverment.
661,Fairmont,Location,Personal details,place
662,Fairmont,Location,Personal details,place
663,Jean-PierreVanZyl,Person,Personal details,name of person
664,SouthAfrica,Location,Personal details,place
665,Kekkila,Organization,Political Secret,organizations such as private company and goverment.
666,AZAlkmaar,Organization,Political Secret,organizations such as private company and goverment.
667,THINAKARAN,Organization,Political Secret,organizations such as private company and goverment.
668,Takeishi,Person,Personal details,name of person
669,Caribbean,Location,Personal details,place
670,State(central)Bank,Organization,Political Secret,organizations such as private company and goverment.
671,Pakistan,Location,Personal details,place
672,Thailand,Location,Personal details,place
673,SiamCommercialBankPlc,Organization,Political Secret,organizations such as private company and goverment.
674,MotherTeresa,Person,Personal details,name of person
675,Calcutta,Location,Personal details,place
676,SarahBrady,Person,Personal details,name of person
677,RonaldReagan,Person,Personal details,name of person
678,JamesBrady,Person,Personal details,name of person
679,MartyJemison,Person,Personal details,name of person
680,U.S.,Location,Personal details,place
681,U.S.Postal,Organization,Political Secret,organizations such as private company and goverment.
682,Simpson,Person,Personal details,name of person
683,Forsa,Organization,Political Secret,organizations such as private company and goverment.
684,SelectionCommittee,Organization,Political Secret,organizations such as private company and goverment.
685,Norton,Person,Personal details,name of person
686,Lloyd's,Organization,Political Secret,organizations such as private company and goverment.
687,Equitas,Organization,Political Secret,organizations such as private company and goverment.
688,Colorado,Location,Personal details,place
689,AudiAG,Organization,Political Secret,organizations such as private company and goverment.
690,HerbertDemel,Person,Personal details,name of person
691,VolkswagenAG,Organization,Political Secret,organizations such as private company and goverment.
